population_id,group_id,year,group.year,GroupSize,N.Fem,N.Male,Scale.Group,N.Sampled,Obs.Effort,Obs.Effort.Per.Capita,Species,phylo,Category.New,Category.Basic,Philopatry,ff.related.r,ff.related.se,ff.rank.r,ff.rank.se,ff.male.r,ff.male.se,fm.rank.male.r,fm.rank.male.se,fm.rank.fem.r,fm.rank.fem.se,fm.rank.intx.r,fm.rank.intx.se
AMBOSELI,AMB_GRP_005,2004,AMB_GRP_005_2004,24,12,12,-0.355,13,1089.4,83.80,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.5318,0.4143,0.0530,0.1547,-0.1617,0.5142,-0.0606,0.2184,0.3259,0.2053,0.2870,0.1302
AMBOSELI,AMB_GRP_005,2005,AMB_GRP_005_2005,16,9,7,-1.041,10,1407.4,140.74,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,0.7578,0.4188,0.3511,0.1494,-0.3961,0.3861,-0.0828,0.2608,0.1077,0.2387,0.2017,0.1705
AMBOSELI,AMB_GRP_005,2006,AMB_GRP_005_2006,18,10,8,-0.856,10,1460.2,146.02,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.5802,0.5016,0.0071,0.1858,0.2072,0.4795,0.2578,0.3290,-0.0554,0.2902,-0.0794,0.1830
AMBOSELI,AMB_GRP_005,2007,AMB_GRP_005_2007,16,10,6,-1.041,10,1493.2,149.32,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.4940,0.4753,0.0769,0.1641,0.0339,0.4017,0.0443,0.2746,0.2386,0.2106,-0.0537,0.2104
AMBOSELI,AMB_GRP_021,2003,AMB_GRP_021_2003,35,23,12,0.421,23,1013.2,44.05,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.4944,0.2782,0.0686,0.1025,-0.3952,0.4508,0.2151,0.1589,0.0364,0.1305,0.0300,0.0959
AMBOSELI,AMB_GRP_021,2004,AMB_GRP_021_2004,39,25,14,0.672,26,904.2,34.78,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.1794,0.3023,0.1853,0.1050,0.1365,0.4018,0.1547,0.1298,0.0520,0.1116,-0.1154,0.0875
AMBOSELI,AMB_GRP_021,2005,AMB_GRP_021_2005,42,26,16,0.852,27,1318.4,48.83,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.1309,0.2815,0.1619,0.1034,-0.1491,0.3609,0.0893,0.1298,0.2083,0.1126,0.0775,0.0792
AMBOSELI,AMB_GRP_021,2006,AMB_GRP_021_2006,47,30,17,1.138,30,1452.8,48.43,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.6770,0.2673,0.0704,0.0941,0.2485,0.3279,0.1969,0.1508,0.1025,0.1275,0.0632,0.1029
AMBOSELI,AMB_GRP_021,2007,AMB_GRP_021_2007,50,30,20,1.303,30,886.8,29.56,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.9777,0.2479,0.1599,0.0858,0.2584,0.3163,0.2845,0.1399,-0.0268,0.1174,-0.0904,0.0796
AMBOSELI,AMB_GRP_042,2003,AMB_GRP_042_2003,40,25,15,0.733,26,983.4,37.82,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.8739,0.2886,0.2139,0.0894,0.3218,0.3318,0.2701,0.1424,0.3593,0.1281,-0.0281,0.0993
AMBOSELI,AMB_GRP_042,2004,AMB_GRP_042_2004,42,25,17,0.852,25,983.8,39.35,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.8357,0.3270,0.1994,0.1058,0.1976,0.3271,0.1585,0.1696,0.1513,0.1513,0.2171,0.0969
AMBOSELI,AMB_GRP_042,2005,AMB_GRP_042_2005,42,25,17,0.852,25,1099.8,43.99,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.6551,0.3157,0.2104,0.1091,0.4649,0.3264,0.1630,0.1623,0.3419,0.1404,-0.0007,0.0871
AMBOSELI,AMB_GRP_042,2006,AMB_GRP_042_2006,45,25,20,1.026,26,1263.8,48.61,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.5806,0.3464,0.2061,0.0944,0.1772,0.4936,0.2017,0.1573,0.2991,0.1453,0.0445,0.0983
AMBOSELI,AMB_GRP_042,2007,AMB_GRP_042_2007,42,27,15,0.852,29,1220.8,42.10,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,2.4614,0.2919,0.2135,0.1016,0.0477,0.3931,0.2192,0.1738,0.1035,0.1585,-0.0809,0.0989
AMBOSELI,AMB_GRP_043,2003,AMB_GRP_043_2003,21,13,8,-0.597,14,971,69.36,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.1358,0.5089,0.2063,0.1773,-0.1974,0.4420,0.2139,0.2665,0.1254,0.2291,0.0196,0.1558
AMBOSELI,AMB_GRP_043,2004,AMB_GRP_043_2004,22,15,7,-0.514,15,888.2,59.21,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,2.1618,0.4230,-0.0801,0.1388,-0.0447,0.3945,0.2355,0.1960,0.0965,0.1573,0.0247,0.1373
AMBOSELI,AMB_GRP_043,2005,AMB_GRP_043_2005,34,16,18,0.356,18,1467.2,81.51,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.7460,0.3836,0.1293,0.1397,-0.0722,0.4397,0.1454,0.1700,0.0180,0.1688,-0.0732,0.1000
AMBOSELI,AMB_GRP_043,2006,AMB_GRP_043_2006,29,17,12,0.016,17,1482.2,87.19,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.9158,0.3593,0.0190,0.1174,-0.1130,0.5238,0.2180,0.1738,0.0976,0.1652,0.2474,0.1180
AMBOSELI,AMB_GRP_043,2007,AMB_GRP_043_2007,33,17,16,0.290,17,1425.8,83.87,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.9705,0.3442,0.0256,0.1039,0.1808,0.3546,0.3729,0.1477,0.0236,0.1532,-0.0765,0.1166
AMBOSELI,AMB_GRP_047,2003,AMB_GRP_047_2003,21,14,7,-0.597,14,1073.4,76.67,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.5993,0.2918,0.2717,0.1303,0.0735,0.3712,0.0284,0.1908,0.1317,0.1691,-0.0592,0.1385
AMBOSELI,AMB_GRP_047,2004,AMB_GRP_047_2004,26,17,9,-0.202,17,976,57.41,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.3159,0.2848,0.3540,0.1200,0.1358,0.3553,-0.0046,0.1905,0.0024,0.1603,0.0040,0.1407
AMBOSELI,AMB_GRP_047,2005,AMB_GRP_047_2005,33,21,12,0.290,21,1719.4,81.88,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.2728,0.2652,0.3078,0.1124,-0.1817,0.4601,0.0456,0.2350,0.0201,0.1991,0.1065,0.1198
AMBOSELI,AMB_GRP_047,2006,AMB_GRP_047_2006,32,20,12,0.223,21,1504.6,71.65,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.7861,0.2806,0.3763,0.1228,0.2635,0.3939,0.1892,0.1765,0.2276,0.1458,-0.0386,0.1247
AMBOSELI,AMB_GRP_047,2007,AMB_GRP_047_2007,35,22,13,0.421,22,1431,65.05,Yellow baboon,Papio_cynocephalus,Cohesive,Single-level,Female philopatry,1.7488,0.2834,0.2513,0.1063,0.0160,0.4362,0.1800,0.1863,-0.0094,0.1545,0.3282,0.1189
FILOHA,Clan1,1998,Clan1_1998,33,20,13,0.290,30,425.8,14.19,Hamadryas baboon,Papio_hamadryas,Multi-level,Multi-level,Female dispersal,,,0.0653,0.3116,3.0735,0.5917,0.5380,0.2683,-0.0290,0.2831,-0.0371,0.2521
FILOHA,Clan2,1997,Clan2_1997,20,12,8,-0.681,20,116,5.80,Hamadryas baboon,Papio_hamadryas,Multi-level,Multi-level,Female dispersal,,,-0.0258,0.4939,2.8249,1.0268,0.2547,0.3358,-0.0428,0.3525,-0.0023,0.3234
FILOHA,Clan2,1998,Clan2_1998,19,12,7,-0.767,18,214.8,11.94,Hamadryas baboon,Papio_hamadryas,Multi-level,Multi-level,Female dispersal,,,0.0318,0.3208,3.0596,0.5587,0.8159,0.4133,0.0674,0.4458,0.0293,0.3149
GASHAKA,gamgam,2009,gamgam_2009,12,6,6,-1.450,7,761,108.71,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.6313,0.5303,0.0639,0.2115,0.0290,0.5579,0.1868,0.5172,-0.0474,0.4896,0.0942,0.3767
GASHAKA,gamgam,2010,gamgam_2010,9,6,3,-1.804,12,461,38.42,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.5888,1.0414,0.4434,0.5150,0.3751,0.8492,0.3195,0.7861,0.1156,0.6886,-0.0725,0.6841
GASHAKA,kwano,2009,kwano_2009,24,14,10,-0.355,17,601,35.35,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.2817,0.5142,0.0826,0.1468,0.0658,0.4389,0.3097,0.3044,-0.1244,0.2430,0.3068,0.1683
GASHAKA,kwano,2010,kwano_2010,21,12,9,-0.597,22,474.5,21.57,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.1811,0.7254,0.0761,0.2118,-0.0544,0.6792,0.0770,0.2863,0.0687,0.2561,0.1649,0.2604
GASHAKA,kwano,2011,kwano_2011,19,12,7,-0.767,17,427.3,25.13,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.2746,0.7125,0.1620,0.2160,-0.4300,0.5766,-0.1193,0.3128,0.0369,0.2704,0.0266,0.1906
GASHAKA,kwano,2012,kwano_2012,19,12,7,-0.767,17,1512.5,88.97,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.4961,0.4466,0.0372,0.1446,0.0504,0.3687,0.3944,0.3070,-0.2085,0.2005,0.2317,0.1238
GASHAKA,kwano,2013,kwano_2013,18,13,5,-0.856,15,640.3,42.68,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.1078,0.4324,0.1001,0.1704,-0.1402,0.4330,0.0601,0.2260,-0.0117,0.2038,0.2389,0.1703
GASHAKA,kwano,2014,kwano_2014,19,14,5,-0.767,18,471.8,26.21,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.8783,0.4578,0.0005,0.1965,-0.1022,0.5471,0.0027,0.2460,-0.2195,0.1972,0.0092,0.1617
GASHAKA,kwano,2015,kwano_2015,15,10,5,-1.138,13,675.5,51.96,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.2876,0.6814,0.2456,0.2887,0.1131,0.6465,0.1352,0.3102,-0.0967,0.2933,-0.2404,0.3016
GASHAKA,kwano,2016,kwano_2016,18,10,8,-0.856,18,251.8,13.99,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.6511,0.9239,0.0738,0.3014,0.8065,0.8035,0.0540,0.3348,-0.1152,0.2728,0.0679,0.2609
KASANKA,FIBWE,2011,FIBWE_2011,23,18,5,-0.434,19,111.6,5.87,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,0.6923,1.1246,-0.1175,0.3155,-0.2786,0.7835,0.3387,0.5023,0.1156,0.3189,0.0880,0.2453
KASANKA,FIBWE,2012,FIBWE_2012,25,19,6,-0.278,23,188.4,8.19,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,1.3834,0.9727,0.3424,0.2164,0.1642,0.6039,0.4041,0.4881,-0.2280,0.3261,0.3984,0.2108
KASANKA,FIBWE,2013,FIBWE_2013,21,16,5,-0.597,18,237.2,13.18,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,0.8101,0.7099,0.5531,0.1839,0.0875,0.5083,0.2422,0.4322,-0.2810,0.2921,0.6580,0.2692
KASANKA,FIBWE,2014,FIBWE_2014,20,16,4,-0.681,20,326.9,16.35,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,0.8190,0.9481,0.2996,0.1963,0.2554,0.4522,-0.0125,0.4527,0.2917,0.3207,0.1994,0.2801
KASANKA,FIBWE,2015,FIBWE_2015,25,21,4,-0.278,21,294.2,14.01,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,1.2817,0.6640,0.4278,0.1682,-0.1199,0.3855,0.2234,0.5827,0.5979,0.3187,-0.2468,0.2851
KASANKA,FIBWE,2016,FIBWE_2016,24,21,3,-0.355,22,275,12.50,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,1.1711,0.5963,0.3246,0.1534,-0.0371,0.3747,-0.1893,0.7610,0.3195,0.3888,-0.1043,0.2915
KASANKA,FIBWE,2017,FIBWE_2017,30,25,5,0.086,26,251.4,9.67,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,1.9398,0.5077,0.2824,0.1590,-0.0891,0.3516,0.5554,0.4993,0.0276,0.2777,0.2000,0.1927
KASANKA,FIBWE,2018,FIBWE_2018,27,23,4,-0.128,23,96.5,4.20,Kinda baboon,Papio_kindae,Cliquish,Single-level,Female philopatry,1.8660,0.7653,0.3918,0.2245,0.5085,0.4909,0.3082,0.6306,-0.2371,0.3201,-0.5190,0.2452
KIBALE,BT1,2010,BT1_2010,13,8,5,-1.342,17,119.4,7.02,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,1.2334,0.6005,0.1663,0.2529,-0.3228,0.6723,0.1307,0.3724,-0.1773,0.3550,-0.3238,0.2652
KIBALE,BT1,2011,BT1_2011,11,8,3,-1.563,7,37.2,5.32,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,1.7013,1.1179,-0.1260,0.5033,-0.0175,1.0400,0.2218,0.8533,0.9413,0.6506,0.2623,0.3247
KIBALE,BT1,2012,BT1_2012,11,8,3,-1.563,8,38.1,4.76,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,1.1541,0.8489,0.0709,0.3655,-0.1839,0.9431,0.1905,0.8571,-0.7472,0.6592,-0.3445,0.4609
KIBALE,BT1,2013,BT1_2013,10,8,2,-1.681,7,53.4,7.63,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,0.9056,0.8366,0.3078,0.3463,-0.1761,0.6544,,,,,,
KIBALE,LC1,2010,LC1_2010,15,7,8,-1.138,13,105.4,8.11,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,-0.3319,0.6883,0.2971,0.2904,-0.9862,1.2820,-0.4326,0.3309,-0.8821,0.3320,0.0962,0.2533
KIBALE,LC1,2011,LC1_2011,11,8,3,-1.563,7,102,14.57,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,0.2131,0.5390,0.0494,0.2672,-0.2920,0.6169,0.3463,0.7760,-0.4702,0.5949,-1.0769,0.3088
KIBALE,LC1,2013,LC1_2013,11,8,3,-1.563,7,83.1,11.87,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,-0.7731,0.8397,-0.3211,0.4050,0.4859,0.8961,0.0968,0.6526,-0.6062,0.5401,-0.5025,0.4516
KIBALE,MK,2010,MK_2010,8,5,3,-1.935,6,58.3,9.71,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,-0.0126,0.8564,0.3156,0.4969,-0.2030,0.9175,1.6039,0.6255,0.1053,0.6409,0.0271,0.7019
KIBALE,MK,2011,MK_2011,6,4,2,-2.225,4,22,5.50,Gray-cheeked mangabey,Lophocebus_aterrimus,Cohesive,Single-level,Female philopatry,0.2287,1.7737,0.5192,0.9822,-0.4053,1.6574,,,,,,
LAIKIPIA,ENK,Post-dispersal,ENK_Post-dispersal,22,16,6,-0.514,22,278.8,12.67,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.1855,0.4398,0.0135,0.2238,-0.0752,0.6401,0.0943,0.6251,0.3215,0.4555,0.0083,0.1642
LAIKIPIA,ENK,Post-fission,ENK_Post-fission,16,9,7,-1.041,15,347.5,23.17,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.6128,0.4760,0.5699,0.2852,0.2874,0.4799,0.6260,0.4094,0.2642,0.3851,0.1466,0.2311
LAIKIPIA,ENK,Pre-dispersal,ENK_Pre-dispersal,17,11,6,-0.947,17,295.5,17.38,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.6388,0.4382,-0.2357,0.2191,0.7929,0.4905,-0.0551,0.4429,-0.1330,0.3788,-0.0042,0.1820
LAIKIPIA,ENK,Stable,ENK_Stable,15,8,7,-1.138,16,298.5,18.66,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.4399,0.4639,-0.0747,0.2670,0.3804,0.6567,0.1015,0.3297,-0.1791,0.3239,0.1191,0.2432
LAIKIPIA,PHG,Post-dispersal,PHG_Post-dispersal,21,14,7,-0.597,25,277.3,11.09,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,1.3449,0.4339,0.1625,0.1744,0.0659,0.4805,-0.0555,0.2269,0.0427,0.2010,-0.0464,0.1664
LAIKIPIA,PHG,Post-fission,PHG_Post-fission,25,18,7,-0.278,28,620.3,22.15,Olive baboon,Papio_anubis,Cohesive,Single-level,Female philopatry,0.8418,0.3607,-0.0517,0.1525,-0.0544,0.4374,0.2347,0.3591,0.2738,0.2677,-0.0047,0.1683
